@relation tache2.2

@attribute _text string
@attribute _class {DEPLAISIR, DERANGEMENT, MEPRIS, SURPRISE_NEGATIVE, PEUR, COLERE, ENNUI, TRISTESSE, PLAISIR, APAISEMENT, AMOUR, SURPRISE_POSITIVE, SATISFACTION, INSATISFACTION, ACCORD, VALORISATION, DESACCORD, DEVALORISATION, INSTRUCTION}

@data
'@PhanEd @AznAlainT @_Baekholic alors j\'ai une blague mais dure a comprendre On est ecologiques a nous 3 on se rebelle groupe Anti-Train !',MEPRIS
'Madame Ségolène Royale ministre de l\'écologie et du développement durable Non à la destruction des \"nuisibles\" http//t.co/jUYWddlIMe',DESACCORD
'Le nouveau Monsieur \" développement durable \" Jacques Tapin l’ex-élu municipal niortais vient d’être porté ... http//t.co/hrDGKOkyJd',VALORISATION
'@F_Choquette pourquoi une pétition contre le changement climatique si vous etes meme pas capable de traiter un simple dossier citoyen',DESACCORD
'Content de participer au groupe de travail @LaFabriqueEcolo sur mondialisation et développement durable beaucoup d\'échanges et d\'énergie',PLAISIR
'#prix des voyages #aériens départ France au même niveau en juin 2014 qu’en juin 2013 & baissent de 1\% au 1er semestre http//t.co/uU3djI8IU9',DEVALORISATION
'La réponse aux ringards de Valeurs Actuelles http//t.co/v3Gc1L16M1 Les éoliennes défigurent la France ?',MEPRIS
'CC @SDE2014 @Solar_Decathlon // L’innovation rayonne à Versailles >> http//t.co/G0ShyTRJvq',VALORISATION
'#développementdurable Les appareils connectés en mode veille un gâchis planétaire http//t.co/7fEIyJ3RsI',MEPRIS
'remarque si on utilisait ça pour les peintures ce serait plus écologiques bon l\'odeur serait pas excellente mais un peu de febreze et hop',INSATISFACTION
'Infographie intéressante au sujet des villes les plus écologiques du monde ! http//t.co/u5yp0oIXnr',VALORISATION
'UNECA - Le Maroc accueillera la quatrième Conférence sur le changement climatique et le développement sur les ... http//t.co/1WoIk5itlR',VALORISATION
'Pour bien préparer les #vacances au bord de l\'eau. Voici un guide des loisirs #nautiques en #eau douce ! http//t.co/glJX6DuPt6',VALORISATION
'#smurfitkappa renforce son engagement en faveur de la lutte contre le changement climatique http//t.co/2S7RIhWHbU',VALORISATION
'Des antillais investissent en Afrique | Afrique... http//t.co/77a3qFMClI',VALORISATION
'@mdrechsler @wleloutre @relaisdsciences @lauredlr Créer tjrs + de disciplines (développement durable p e) c\'est une mauvaise direction',DEVALORISATION
'Le nucléaire c\'est mal les éoliennes c\'est moche le charbon ça pue !',MEPRIS
'Éoliennes le rapport qui accuse | Valeurs Actuelles http//t.co/G5N0b4VR7c via @valeurs',DESACCORD
'La Compagnie du Vent Groupe GDF Suez et le fonds Mirova Eurofideme 2 partenaires dans 5 centrales solaires au sol http//t.co/oEtBGyWVBx”',ACCORD
'Éoliennes béton abandon du patrimoine vandalisme municipal!L\'impérialisme du laid! Le poids ds enveloppes!#FranceDéfigurée #FranceBradée',DEVALORISATION
'Impressionnante petite élise d\'éoliennes / Wow #dansleparc #letape http//t.co/Lc8CA013Ow',VALORISATION
'@ThCharmasson Bonjour & merci pour ce tweet. Juste te rappeler nous ne sommes plus agence de l\'environnement mais du développement durable',SATISFACTION
'Ce soir @SolarPhileas est 3ème au prix développement durable et 1er au classement général !! Dernière ligne droite ! http//t.co/IpGqQB9Ivq”',VALORISATION
'@Poupinouik @heavens66 tu as raison puis si je me prends un vent pas grave les éoliennes c tendance #MerciSégolène',SATISFACTION
'@whiwofbs pour des raisons écologiques sanitaires pour lutter contre la famine et à terme pour des questions de place',DESACCORD
'[Rediff] Il a 13 ans et révolutionne les panneaux solaires http//t.co/0qtf3XTTzC',VALORISATION
'La #Chine veut combattre les particules fines par l\'hydraulique...mais menace la #biodiversité dans l\'Himalaya | http//t.co/mqsmg2DLic',PEUR
'@Kyoht putain changement climatique.',MEPRIS
'#climat Les éoliennes arme de torture massive pour les êtres vivants. http//t.co/riK55KcK8J … http//t.co/GTKnStcoKU',COLERE
'Eoliennes en mer une convention signée au Havre avec Areva pour favoriser le recrutement local http//t.co/0Yb0noTtl4 #Rouen',ACCORD
'#Bruxelles boude le #Fonds vert pour le #climat par @EuroActiv_FR | @Actuenviro http//t.co/eFKkE9W0GI',DEVALORISATION
'#biodiversité L\'Assemblée autorise les éleveurs à abattre les loups Ségolène Royal a franchi la limite http//t.co/atfh2OmlVB',COLERE
'idkw je kiffe les éoliennes',AMOUR
'L\'Algérie décide de fermer ses centrales hydroélectriques - Portail Algérien des ENERGIES RENOUVELABLES http//t.co/3n9sAnCMBY',INSATISFACTION
'#énergie Les appareils connectés en mode veille un gâchis planétaire http//t.co/khtuEicJPX',MEPRIS
'Parcs naturels régionaux douze projets pour innover dans les territoires ruraux - Localti... | @scoopit http//t.co/ORLuGqfxcA',VALORISATION
'Intéressant témoignage contre éoliennes | Dossier. Vent de colère sur nos villages | Valeurs Actuelles http//t.co/6zPBNYFVAh via @valeurs',VALORISATION
'\"Tous les écologistes sont daltoniens ils voient vert partout !\"',VALORISATION
'Le typhon Neoguri épargne Tokyo – Changement climatique http//t.co/hAG2kyT5Yg',APAISEMENT
'Je viens de voir un #renard dans mon jardin. C\'est beau mais j\'imaginais ça plus gros. #campagne #biodiversité',SATISFACTION
'Coopération Sud-sud et développement durable Lancement de l’initia http//t.co/61IMS7X7wn #Afrique #changementclimatique #coopération',ACCORD
'Création de Solutions Cop 21 site web d\'infos débats conférences sur la Conférence sur le climat ... | @scoopit http//t.co/78nEPCxrRi',VALORISATION
'La Finlande innove dans une proposition de déplacement flexible intéressante en milieu urbain Cornelissen konsult http//t.co/zmg7z8dd1V',VALORISATION
'Le rôle de l\'abeille est essentiel dans le maintien de la biodiversité et par là même de notre alimentation',VALORISATION
'@cdion @OfficielML bravo #demain check this http//t.co/QSCPgHL0Aj une invention qui va boulverser le marché des panneaux solaires. Bon vent',SATISFACTION
'Fleurir les déserts | @scoopit via @dgengembre http//t.co/eBrXPNRFkl',VALORISATION
'Dans la jungle ougandaise le tourisme protège les gorilles Dans la jungle du sud-ouest de l\'Ouganda les gor... http//t.co/dlif76as2v',VALORISATION
'\"Dans la jungle ougandaise le tourisme protège les gorilles\" http//t.co/pqNHb1As2c',VALORISATION
'3/4 #Royal \"investir sur les énergies renouvelables (intelligentes C-à-dire PAS les éoliennes terrestres !) Et continuer à développer..',VALORISATION
'#biodiversité Quand les pêcheurs du dimanche font avancer la science http//t.co/rutbJeriF7',VALORISATION
'Actu Etang-Salé Le développement durable invité au marché des créateurs http//t.co/37dsIQIaga #Pei / InfoZ.re',VALORISATION
'La #biodiversité une affaire de relations dynamiques entre des systèmes vivants et non le grand catalogue de Noé. http//t.co/MC9w3OqQ4G',VALORISATION
'#climat Incroyable ! Le Huffington Post défend les sceptiques et dénonce l’inquisition verte http//t.co/izn6wpPTvh via @HuffPostQuebec',SURPRISE_POSITIVE
'Grand Prix national Génie écologique au service de la politique de l’#eaules candidatures st ouvertes jusqu’au 31/07 http//t.co/L2UmpMrUFb',VALORISATION
