"ID de la réponse","Date de soumission","Dernière page","Langue de départ","Quel est votre statut?   ","Sexe?","Avez vous déjà étudié/enseigné dans une salle équipée de capteurs ?","Etes vous favorable à l’usage des IoT sur le campus et la vie quotienne en général?","Globalement, quelles émotions les technologies IoT (villes intelligentes, bâtiments intelligents, objets connectés, etc.) vous évoquent-elles  ?","Justifier votre réponse aux questions précédentes  par un texte de maximum 280 caractères qui met en avant vos sentiments/émotions sur l'usage des dispositifs IoT dans la vie quotidienne."
"1","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","c'est d'abord un sentiment de curiosité, d'étude. Evaluer si ces capteurs sont utiles ou non ."
"2","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Ennui","Ils sont présents, ne me gênent pas plus que ça; je ne peux rien y faire donc bon...."
"3","","0","fr","Autre","N/A","N/A","N/A","",""
"4","","3","fr","Etudiant","Masculin","Oui","N/A","",""
"5","","5","fr","Etudiant","Masculin","Non","Non","Tristesse (Tristesse / chagrin / souffrance / désespoir / résignation)",""
"6","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Oui","Oui","Aucune","L'IoT devrait permettre d'aider les gens dans leur vie quotidienne pour améliorer leur confort tout en étant respectueux de l'environnement et d'aider les gestionnaires de villes et de campus a mieux gérer leurS ressources"
"7","","5","fr","Personnel","Masculin","Non","Oui","Aucune",""
"8","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Aucune","Le respect absolu de la vie est un préalable nécessaire (pas suffisant) à l'acceptation de l'IoT
Cela doit améliorer le bien-être et favoriser l'éco-cotoyenneté"
"9","","5","fr","Personnel","Masculin","Non","Non","",""
"10","","5","fr","Autre","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"11","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Dans la mesure ou sur la base d'une analyse en ACV, le système est plus performant, j'y vois un avantage. Cependant, les systèmes intelligents risquent d'une part de rendre plus dépendant les utilisateurs et un comportement moins intelligent."
